TARIFF	DESCRIPTION EN	DESCRIPTION TH	%	S	REMARK
SECTION 1	LIVE ANIMALS; ANIMAL PRODUCTS	สัตว์มีชีวิต ผลิตภัณฑ์จากสัตว์	
7612	Aluminium casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), of a dapacity not exceeding 300 I, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment.	คาสก์ ดรัม กระป๋อง หีบ และภาชนะที่คล้ายกัน (รวมถึงภาชนะรูปทรงกระบอกแบบแข็งหรือแบบบีบพับได้) สำหรับบรรจุวัตถุใดก็ตาม (นอกจากก๊าซอัดหรือก๊าซเหลว) ทำด้วยอะลูมิเนียมที่มีความจุเกิน 300 ลิตร จะบุด้านในหรือหุ้มฉนวนความร้อนหรือไม่ก็ตาม แต่ต้องไม่มีเครื่องอุปกรณ์กลหรือเครื่องอุปกรณ์ความร้อนประกอบติดอยู่	
7613	Aluminium containers for compressid or liquefied gas.	ภาชนะอะลูมิเนียม สำหรับบรรจุก๊าซอัดหรือก๊าซเหลว	
7614	Stranded wire, cables, plaited bands and the like, of aluminium, not elsetrically insulated.	ลวดเกลียว เคเบิล แถบถัก และของที่คล้ายกัน ทำด้วยอะลูมิเนียม ไม่มีฉนวนไฟฟ้า	
7615	Table, kitchen or other household articles and parts thereof , of aluminium ; pot scourers and scouring or polishing pads, gloves and the like, of aluminium; sanitary ware and parts thereof, of aluminium.	ของใช้บนโต๊ะอาหาร ของใช้ในครัวหรือของใช้ตามบ้านเรือนอื่น ๆ และส่วนประกอบของของดังกล่าว ทำด้วยอะลูมิเนียม ของที่ใช้ขัดหม้อ แผ่น ถุงมือและของที่คล้ายกันสำหรับขัดหรือขัดถู ทำด้วยอะลูมิเนียม เครื่องสุขภัณฑ์และส่วนประกอบของเครื่องสุขภัณฑ์ทำด้วยอะลูมิเนียม	
7616	Other articles of aluminium.	ของอื่น ๆ ทำด้วยอะลูมิเนียม	
 CHAPTER 78	Lead and articles thereof.	ตะกั่วและของทำด้วยตะกั่ว	
7801	Unwrought lesd.	ตะกั่วที่ยังไม่ขึ้นรูป (อันรอต)	
7802	Lead waste and scrap.	เศษและของที่ใช้ไม่ได้ที่เป็นตะกั่ว	
7804	Lead plates, sheets, strip and foil; lead powders and flakes.	แผ่น แผ่นบางและฟอยล์ ทำด้วยตะกั่ว รวมทั้งผงตะกั่วและเกล็ดตะกั่ว	
7806	Other articles of lead.	ของอื่น ๆ ทำด้วยตะกั่ว	
 CHAPTER 79	Zinc and articles thereof.	สังกะสีและของทำด้วยสังกะสี	
7901	Unwrought zinc.	สังกะสีที่ยังไม่ได้ขึ้นรูป (อันรอต)	
7902	Zinc waste and scrap.	เศษและของที่ใช้ไม่ได้ที่เป็นสังกะสี	
7903	Zinc dust, powders and flakes.	ฝุ่นสังกะสี ผงสังกะสี และเกล็ดสังกะสี	
7904	Zinc bars, rods, profiles and wire.	ท่อน เส้น โพรไฟล์และลวด ทำด้วยสังกะสี	
7905	Zinc plates, sheets, strip and foil.	แผ่น แผ่นบาง แถบและฟอยล์ ทำด้วยสังกะสี	
7907	Other articles of zinc.	ของอื่น ๆ ทำด้วยสังกะสี	
 CHAPTER 80	Tin and articles thereof.	ดีบุกและของทำด้วยดีบุก	
8001	Unwrought tin.	ดีบุกที่ยังไม่ได้ขึ้นรูป (อันรอต)	
8002	Tin waste and scrap.	เศษและของที่ใช้ไม่ได้ที่เป็นดีบุก	
8003	Tin bars, rods, profiles and wire.	ท่อน เส้น โพรไฟล์และลวด ทำด้วยดีบุก	
8007	Other articles of tin.	ของอื่น ๆที่ทำด้วยดีบุก	
 CHAPTER 81	Other base metals; cermets; articles thereof.	โลหะสามัญชนิดอื่น เซอร์เมต และของทำด้วยของดังกล่าว	
8101	Tugsten (wolfram) and articles thereof , including waste and scrap.	ทังสเตน(วุลแฟรม) และของทำด้วยทังสเตน รวมถึงเศษและของที่ใช้ไม่ได้	
8102	Molybdenum and articles thereof, ticluding waste and scrap.	โมลิปดีนัมและของทำด้วยโมลิบดีนัม รวมถึงเศษและของที่ใช้ไม่ได้	
8103	Tantalum and articles thereof, including waste and scrap.	แทนทาลัมและของทำด้วยแทนทาลัม รวมถึงเศษและของที่ใช้ไม่ได้	
8104	Magnesium and articles therelf, including waste and scrap.
- Unwrought magnesium :	แมกนีเซียมและของที่ทำด้วยแมกนีเซียม รวมถึงเศษและของที่ใช้ไม่ได้
- แมกนีเซียมที่ยังไม่ได้ขึ้นรูป (อันรอต)	
8105	Cobalt mattes and other intermediate products of cobalt metallurgy; cobalt and articles thereof , including waste and scrap.	โคบอลตแมตต์และผลิตภัณฑ์ชั้นกลางอื่น ๆ ของโลหกรรมทางโคบอลต์ โคบอลต์และของทำด้วยโคบอลต์รวมถึงเศษและของที่ใช้ไม่ได้	
8106	Bismuth and articlels thereof, including waste and scrap.	บิสมัสและของทำด้วยบิสมัส รวมถึงเศษและของที่ใช้ไม่ได้	
8107	Cadmium and articles thereof, including waste and scrap.	แคดเมียมและของทำด้วสยนแคดเมียม รวมถึงเศษและของที่ใช้ไม่ได้	
8108	Titanium and articles thereof, including waste and scrap.	ไทเทเนียมและของทำด้วยไทเทเนียม รวมถึงเศษและของที่ใช้ไม่ได้	
8109	Zirconium and articles thereof, including waste and scrap.	เซอร์โคเนียมและของทำด้วยเซอร์โคเนียม รวมถึงเศษและของที่ใช้ไม่ได้	
8110	Antimony and articles thereof, including waste and scrap.	พลวงและของทำด้วยพลวง รวมถึงเศษและของที่ใช้ไม่ได้	
8111	Magnanese and articles thereof, including waste and scrap.	แมงกานีสและของทำด้วยจแมงกานีส รวมถึงเศษและของที่ใช้ไม่ได้	
8112	Beryllium, chromium , germanium, vanadium, gallium, hafnium, indium, niobiu,(columbiu,), rhenium ans thallium, and articles thereof, including waste and scrap.
-Beryllium :	เบริลเลียม โครเมียม เจอร์เมเนียม วาเนเดียม แกลเลียม แฮฟเนียม อินเดียม ไนโอเบียม รีเนียม และแทลเลียม และของทำด้วยโลหะดังกล่าว รวมถึงเศษและของที่ใช้ไม่ได้
- เบริลเลียม	
8113	Cemets and articles thereof, including waste and scrap.	เซอร์เมตและของทำด้วยเซอร์เมต รวมถึงเศษและของที่ใช้ไม่ได้	
 CHAPTER 82	Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal.	เครื่องมือ เครื่องใช้ ของใช้ชนิดมีคม ช้อนและส้อม ทำด้วยโลหะสามัญ ส่วนประกอบของของดังกล่าว ทำด้วยโลหะสามัญ	
8201	Hand tools, the folowing : spades, shovels,,mattocks, picks, , hoes, forks and rakes; axes, bill hooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools of a kind used in agriculture, horticulture or forestry.	เครื่องมือที่ใช้งานด้วยมือ ดังต่อไปนี้ คือ เสียม พลั่ว แมตทอก อีเต้อ จอบ สามง่ามและคราด ขวาน มีดขอ และเครื่องมือสำหรับตัดที่คล้ายกัน รวมทั้งกรรไกรตัดลิดและกรรไกรตัดเล็มทุกชนิด เคียวเกี่ยวข้าว มีดตัดหญ้า กรรไกรแต่งพุ่มไม้ ลิ่มผ่าไม้ และเครื่องมืออื่น ๆ ชนิดที่ใช้ในการเกษตร การทำสวนหรือการป่าไม้	
8202	Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades).	เลื่อยมือ ใบเลื่อยทุกชนิด (รวมถึงใบเลื่อยที่ใช้สำหรับเฉือน ทำร่องหรือใบเลื่อยที่ไม่มีฟัน)	
8203	Files, rasps, pliers (include cutting pliers), pincers, tweezers, metal cutting shears, pipe-cutters, boil cropers, perforating punches and similar hand tools.	ตะไบ บุ้ง คีม(รวมถึงคีมตัด) คีมปากนกแก้ว ปากคีม กรรไกรตัดโลหะ เครื่องมือตัดท่อ เครื่องมือตัดสลัก เครื่องมือตอกรู และเครืองมือที่ใช้งานด้วยมือที่คล้ายกัน	
8204	Hand-operted spanners and wrenches (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with or without handles.
- Hand - operated spanners and wrenches :	ประเเจปากตายและประแจเลื่อนที่ใช้งานด้วยมือ (รวมถึงประแจทอร์กแต่ไม่รวมถึงด้ามจับดอกกัดเกลียวใน) รวมทั้งประแจบ๊อกซ์ชนิดถอดสับเปลี่ยนได้ มีหรือไม่มีด้ามจับ
- ประแจปากตายและประแจเลื่อนที่ใช้งานด้วยมือ	
8205	Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine tools; anvils; portable forges; hand or pedal-operted grinding wheels with frameworks.	เครื่องมือที่ใช้งานด้วยมือ (รวมถึงเครื่องมือติดกากเพชรใช้สำหรับตัดกระจก) ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น ตะเกียงฟู่ ปากกาจับ ที่จับยึดและของที่คล้ายกัน (นอกจากอุปกรณ์ประกอบและส่วนประกอบของเครื่องมือกล) ทั่ง เตาเผาโลหะชนิดหิ้วได้ จานเจียระไนที่ประกอบกับ โครงที่ใช้งานด้วยมือหรือเท้า	
8206	Tools of two or more of the heading 82.02 to 85.05 , put up in sets for retail sale.	เครื่องมือตามประเภทที่ 82.02 ถึง 82.05 ตั้งแต่สองประเภทพิกัดขึ้นไปที่จัดทำขึ้นเป็นชุดเพื่อการขายปลีก	
8207	Interchangeable tool for hand tools, whether or not power-operated, or for machine-tools (for example , for pressing, stamping, punching, tapping, threading, drilling, boring, broaching, milling, turning or screw driving), including dies for drawing or extruding metal, and rock drilling or earth boring tools.
- Rock drilling or earth boring tools :	เครื่องมือชนิดถอดสับเปลี่ยนได้ สำหรับเครื่องมือที่ใช้งานด้วยมือ ซึ่งจะขับด้วยกำลังอย่างอื่น หรือไม่ก็ตาม หรือสำหรับเครื่องมือกล (เช่น สำหรับอัด ตอกพิมพ์ ตอกรู ทำเกลียวใน ทำเกลียวนอก เจาะ คว้าน ตกแต่ง ขูดผิว กลึงหรือไขตะปูควง) รวมถึงแม่พิมพ์ (ดาย) สำหรับดึงหรืออัดรีดโลหะ และเครื่องมือสำหรับเจาะหินหรือเจาะดิน
- เครื่องมือสำหรับเจาะหินหรือเจาะดิน	
8208	Knives and cutting blades, for machines or for mechanical appliances.	มีดและใบมีด สำหรับใช้กับเครื่องจักรหรือเครื่องใช้กล	
8209	Plates, sticks, tips and the like for tools, unmounted, of cerments.	แผ่น แท่ง ปลาย และของที่คล้ายกัน ทำด้วยเซอร์เมต ที่ใช้กับเครื่องมือ แต่ยังไม่ได้ประกอบติดกับเครื่องมือ	
8210	Hand-operated mechanical appliances, weighting 10 kg or less, used in the preparation, conditioning or serving of food or drink.	เครื่องใช้กลที่ใช้แรงคน มีน้ำหนัก 10 กิโลกรัมหรือน้อยกว่า ใช้ในการเตรียมหรือทำอาหารหรือเครื่องดื่ม	
8211	Knives with cutting blades, serrated or not ( including pruning knives ), other than knives of heading 82.08, and blades therefor.	มีดและใบมีด มีลักษณะเป็นฟันหรือไม่ก็ตาม (รวมถึงมีดที่ใช้ตัดแต่งตันไม้) และใบมีดสำหรับมีดดังกล่าว นอกจากมีดตามประเภทที่ 82.08	
8212	Razors and razor blades (including razor blade blanks in strips).	มีดโกนและใบมีดโกน (รวมถึงแถบใบมีดโกนที่เพียงแต่ขึ้นรูป)	
8213	Scissors, tailors' shears and similar shears, and blades therefor.	กรรไกร กรรไกรสำหรับช่างตัดเสื้อ และกรรไกรที่คล้ายกันรวมทั้งใบกรรไกร	
8214	Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives); manicure or pedicure stes and instruments (including nail files).	ของมีคมอื่น ๆ (เช่น ปัตตาเลี่ยน มีดสำหรับใช้ในครัวเรือนเพื่อใช้ผ่า สับ หรือสับให้ละเอียด มีดตัดกระดาษ) รวมทั้งชุดเครื่องตกแต่งและเครื่องมือใช้สำหรับตกแต่งเล็มมือและเล็มเท้า (รวมถึงตะไบแต่งเล็บ)	
8215	Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kinchen or tableware.	ช้อน ส้อม ทัพพี ทัพพีโปร่ง มีดเสริฟเค้ มีดปลา มีดเนย คีมคีบน้ำตาล และเครื่องครัวหรือเครื่องใช้บนโต๊ะอาหารที่คล้ายกัน	
 CHAPTER 83	Miscellaneous articles of base metal.	ของเบ็ดเตล็ดทำด้วยโลหะสามัญ	
8301	Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporaing locks, of base metal; keys for any of the foregoing articles, of base metal.	กุญแจสายยูและกุญแจอื่น ๆ (ชนิดที่ใช้ลูกกุญแจ ใช้รหัสหรือใช้ไฟฟ้า) ทำด้วยโลหะสามัญ แคบส์ปและโครงพร้อมแคลส์ปซึ่งมีกุญแจอยู่ด้วย ทำด้วยโลหะสามัญ ลูกกุญแจสำหรับของข้างต้นทำด้วยโลหะสามัญ	
8302	Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, windows, blinds, coachwork, sadlery, trunks, chests, caskets or the like; base metal hat-racks, hat-pegs, brackets and similar fixtures; castors with mountings of base metal; automatic door closers of base metsl.	อุปกรณ์สำหรับยึด อุปกรณ์ติดตั้ง (ฟิตติ้ง) และของที่คล้ายกัน ทำด้วยโลหะสามัญ เหมาะสำหรับใช้กับเฟอร์นิเจอร์ ประตู บันได หน้าต่าง มู่ลี่ ตัวถังรถ เครื่องอาน หีบเดินทางขนาดใหญ่ หีบเก็บของ กล่องเก็บของมีค่า หรือใช้กับของที่คล้ายกัน ที่วางหรือแขวนหมวก เท้าแขน และสิ่งติดตั้งถาวรที่คล้ายกันทำด้วยโลหะสามัญ ลูกล้อพร้อมอุปกรณ์สำหรับยึดทำด้วยโลหะสามัญ อุปกรณ์ปิดเปิดประตูอัตโนมัติทำด้วยโลหะสามัญ	
8303	Armored or reinforced safes, strong-boxes and doors and safe deposit lockers for strong-rooms, cash or deed boxes and the like, of base metal.	ตู้นิรภัย กำปั่น ประตูห้องมั่นคง และล็อคเกอร์นิรภัยใชัเก็บของในห้องมั่นคง ที่หุ้มเกราะหรือเสริมให้แข็งแรง หีบใส่เงินหรือหีบใส่เอกสารสิทธิ์และของที่คล้ายกัน ทำด้วยโลหะสามัญ	
8304	Filing cabinets, card-index cabinets, paper trays, paper rests, pen trays, office-stamp stands and similar office or desk equipment, of base metal, other than office furiture of heading 94.03.	ตู้เอกสาร ตู้บัตรดัชนี ถาดเอกสาร ที่วางกระดาษ ถาดใส่ปากกา ขาตั้งสำหรับแขวนตราประทับ และเครื่องมืออุปกรณ์ที่คล้ายกันที่ใช้ในสำนักงานหรือโต๊ะทำงาน ทำด้วยโลหะสามัญ นอกจากเฟอร์นิเจอร์ที่ใช้ในสำนักงานตามประเภท 94.03	
8305	Fitting for loose-leaf binders or files, letter clips, letter corners, paper clips, indexing tags and similar office frticles, of base metal; staples in strips (for example, for offices, upholstery, packaging), of base metal.	อุปกรณ์ติดตั้ง (ฟิตติ้ง) สำหรับแฟ้มเอกสาร คลิบหนีบจดหมาย มุมเสียบจดหมาย คลิบหนีบกระดาษ ป้ายดัชนี และของใช้ในสำนักงานที่คล้ายกัน ทำด้วยโลหะสามัญ รวมทั้งแถบลวดเย็บ (เช่น ใช้ในสำนักงานในกิจการเครื่องเจาะ ในการบรรจุหีบห่อ) ทำด้วยโลหะสามัญ	
8306	Bells, gongs and the like, non-electric, of base metal; statuettes and other ornaments, of base metal; photgraph, picture or similar frames, of base metal; mirrors of base metal.	ระฆัง ฆ้องและของที่คล้ายกัน ไม่ใช้ไฟฟ้า ทำด้วยโลหะสามัญ รูปหล่อ ขนาดเล็กและเครื่องประดับอื่น ๆ ทำด้วยโลหะสามัญ กรอบรูปถ่าย กรอบรูปภาพหรือกรอบที่คล้ายกัน ทำด้วยโลหะสามัญ รวมทั้งกระจกเงาทำด้วยโลหะสามัญ	
8307	Flexible tubing of base metal, with or without fittings.	หลอดหรือท่าที่อ่อนงดได้ ทำด้วยโลหะสามัญ มีหรือไม่มีอุปกรณ์ติดตั้ง(ฟิตติ้ง)	
8308	Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base metal, of a kind used for clothing , footwear, awnings, handbags, travel goods or other made up articles; tubular or bifurcated rivets, of base metal; beads and spanles, of base metal.	แคลส์ป โครงพร้อมแคลส์ป หัวเข็มขัด หัวเข็มขัดชนิดแคลส์ป ตาขอ ห่วง ตาไก่ และของที่คล้ายกัน ทำด้วยโลหะสามัญ ชนิดที่ใช้กับเสื้อผ้า รองเท้า ผ้าใบบังแดด กระเป๋าถือ ของที่ใช้ในการเดินทาง หรือของอื่น ที่จัดทำแล้ว รวมทั้งหมุดย้ำที่เป็นรูปทรงกระบอกหรือสองขาทำด้วยโลหะสามัญ ลูกปัดและเลื่อมทำด้วยโลหะสามัญ	
8309	Stoppers, caps and lids (including crown corks, screw caps and pouring stoppers), capsules for bottles, threaded bungs, bung covers, seals and other packing accessories, of base metal.	จุกและฝา (รวมถึง จุกจีบ ฝาเกลียวและจุกริน) ปลอกหุ้มปากขวด ฝาถังชนิดเกลียว ฝาครอบ ปากถัง สิ่งที่ใช้ปิดผนึกและอุปกรณ์ประกอบอย่างอื่นที่ใช้ในการบรรจุ ทำด้วยโลหะสามัญ	
8310	Sign-plates, name-plates, address-plates and similar plates, numbers, letters and other symplos, of base metal , excluding those of heading 94.05.
- Hydraulic turbines and water wheels :	ป้ายเครื่องหมาย ป้ายชื่อ ป้ายที่อยู่ และป้ายที่คล้ายกัน ตัวเลข ตัวอักษร และสัญญลักษณ์อื่น ๆ ทำด้วยโลหะสามัญ แต่ไม่รวมถึงของตามประเภท ที่ 94.05
- เครื่องกังหันไฮดรอลิกและล้อน้ำ	
8311	Wire, rods, tubes, plates, electrodes and similar products, of base metal or of metal carbides, coated or cored with flux material, of a kind used for soldering, brazing, welding or deposition of metal or of metal carides; wire and rods, of agglomerated base metal powder, used metal spraying.
- Turbo-jets :	ลวด เส้น หลอด แผ่น อิเล็กทรดและผลิตภัณฑ์ที่คล้ายกัน ทำด้วยโลหะสามัญหรือโลหะคาร์ไบด์ เคลือบหรือทำแกนกลางด้วยวัตถุจำพวกฟลักซ์ ชนิดที่ใช้ในการบัดกรี เป่าเเล่น เชื่อมหรือพอกโลหะหรือโลหะคาร์ไบด์ รวมทั้งลวดและเส้นที่ทำด้วยผงโลหะสามัญซึ่งเกาะหรือติดรวมกันใช้ในการพ่นโลหะ
- เครื่องกังหันไอพ่น	
SECTION 16	MACHINERY AND MECHANICAL APPLIANCES; ELECTRICAL EQUIPMENT; PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES	เครื่องจักรและเครื่องกล เครื่องอุปกรณ์ไฟฟ้า ส่วนประกอบของเครื่องดังกล่าว เครื่องบันทึกเสียงและเครื่องถอดเสียง เครื่องบันทึก และเครื่องถอดภาพ และเสียงทางโทรทัศน์ ส่วนประกอบ และอุปกรณ์ประกอบของเครื่องดังกล่าว	
 CHAPTER 84	Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.	เครื่องปฏิกรณ์นิวเคลียร์ บอยเลอร์ เครื่องจักร เครื่องใช้กล และ ส่วนประกอบของเครื่องดังกล่าว	
8401	Nuclear reactors; fuel elements (cartridges), non-irradiated, for nuclear reactors; machinery and apparatus for isotopic separation.	เครื่องปฏิกรณ์นิวเคลียร์ แท่งเชื้อเพลิง(คาร์ทริดจ์) ที่ยังไม่ได้ใช้ของเครื่องปฏิกรณ์นิวเคลียร์ รวมทั้งเครื่องจักรและเครื่องอุปกรณ์สำหรับการแยกไอโซโทป	
8402	Steam or other vapour generating boilers (other than central heating hot water boilers capable also of producing low pressure steam) ; super-heated water boilers.
- Steam or other vapour generating boilers :	บอยเลอร์กำเนิดไอน้ำหรือไออื่น ๆ (นอกจากบอยเลอร์สำหรับการทำความร้อนจากส่วนกลาง ซึ่งสามารถผลิตไอน้ำความดันต่ำได้ด้วย) รวมทั้งบอยเลอร์ท่าน้ำร้อนยิ่งยวด
- บอยเลอร์กำเนิดไอน้ำหรือไออื่น	
8403	Central heating boilers other than those of heading 84.02.	บอยเลอร์สำหรับการทำความร้อนจากส่วนกลาง นอกจากของตามประเภทที่ 84.02	
8404	Auxiliary plant for use with boilers of heading 84.02 or 84.03 (for example, economisers, super-heaters, soot removers, gas recoverers); condensers for steam or other vapour power units.	เครื่องจักรโรงงานที่เป็นเครื่องช่วยสำหรับใช้งานร่วมกับบอยเลอร์ตามประเภทที่ 84.02 หรือ 84.03 (เช่น เครื่องอุ่นน้ำเลี้ยง เครื่องทำไอดง เครื่องขจัดเขม่า เครื่องเก็บก๊าซเพื่อนำมาใช้ใหม่) เครื่องควบแน่นสำหรับจ่ายกำลังไอน้ำหรือไออื่น ๆ	
8405	Producer gas or water gas generators with or without their purifiers; acetylene gas generators and similar water process gas generators, with or without their purifiers.	เครื่องกำเนิดโพรดิวเซอร์ก๊าซหรือวอเตอร์ก๊าซ มีหรือไม่มีเครื่องทำให้ก๊าซบริสุทธิ์ รวมทั้งเครื่องกำเนิดก๊าซอะเซทิลีน และเครื่องกำเนิดก๊าซชนิดใช้น้ำที่คล้ายกัน มีหรือไม่มีเครื่องทำให้ก๊าซบริสุทธิ์	
8406	Steam turbines and other vapour turbines.	เครื่องกังหันไอน้ำและเครื่องกังหันไออื่น ๆ	
8407	Spark-ignition reciprocating or rotary internal combustion piston engines.	เครื่องยนต์สันดาปภายในแบบลูกสูปเคลื่อนตรงหรือลูกสูบหมุน ชนิดจุดระเบิดด้วยประกายไฟ	
8408	Compression-ignition internal combustion piston engines (diesel or semi-diesel engines).	เครื่องยนต์สันดาปภายในแบบลูกสูบชนิดจุดระเบิดด้วยการอัด(เครื่องยนต์ดีเซลหรือกึ่งดีเซล)	
8409	Parts suitable for use solely or principally with the engines of heading 84.07 or 84.08.	ส่วนประกอบที่เหมาะสมสำหรับใช้เฉพาะ หรือส่วนใหญ่ใช้กับเครื่องยนต์ตามประเภทที่ 84.07 หรือ 84.08	
8410	Hydraulic turbines, water wheels, and regulators therefor.	เครื่องกังหนไฮดรอลิก ล้อน้ำ และเครื่องควบคุม (เรกูเลเตอร์) ของเครื่องดังกล่าว	
8411	Turbo-jes, turbo-propoellers and other gas turbines.	เครื่องกังหันไอน้ำ เครื่องกังหันใบพัดและเครื่องกังหันก๊าซอื่น ๆ	
8412	Other engines and motors.	เครื่องยนต์และมอเตอร์อื่น ๆ	
8413	Pumps for liquid, whether or not fitted with a measuring device; liquid elevators.	เครื่องสูบของเหลว จะมีอุปกรณ์สำหรับวัดติดอยู่ด้วยหรือไม่ก็ตาม รวมทั้งเครื่องตักยกของเหลว	
8414	Air or vacuum pumps, air or other gas compressors and fans; ventilatin or recycling hoods incorporating a fan, whether or not fitted with filter.	เครื่องสูบลม หรือสูบสูญญากาศ เครื่องอัดลมหรืออัดก๊าซอื่น ๆ และพัดลม รวมทั้งเครื่องระบายอากาศหรือเครื่องหมุนเวียนอากาศที่มีพัดลม ประกอบร่วมอยู่ด้วยจะมีตัวกรองติดอยู่ด้วยหรือไม่ก็ตาม	
8415	Air conditioning machines, comprising a motor-driven fan and elements for changing the temperature and humidity, including those machines in which the humidity cannot be separately regulated.	เครื่องปรับอากาศที่ประกอบด้วยพัดลมซึ่งขับด้วยมอเตอร์และมีส่วนที่ใช้สำหรับเปลี่ยนอุณหภูมิและความชื้น รวมถึงเครื่องจักรดังกล่าวที่ไม่สามารถแยกควบคุมความชื้นต่างหากได้	
8416	Furnace burners for liquid fuel, for pulverised solid fuel or for gas; mechanical stokers, including their mechanical grates, mechanical ash discharers and similar appliances.	เครื่องพ่นหรือฉีดเชื้อเพลิงของเตาเผา (เฟอร์เนซเบอร์เนอร์) สำหรับใช้กับเชื้อเพลิงเหลว หรือเชื้อเพลิงป่นหรือก๊าซ เครื่องเติมเชื้อเพลิงที่เป็นเครื่องกล รวมถึงตะกรับ เครื่องขับขี้เถ้าที่เป็นเครื่องกล และเครื่องใช้ที่คล้ายกันของเครื่องเติมเชื้อเพลิงดังกล่าว	
8417	Industrial or laboratory furnaces and ovens, including incierators, non-electric.	เตาเผาและเตาเผาชนิดที่ใช้ในอุตสาหกรรมหรือตามห้องปฏิบัติการรวมถึงเตาเผาขยะ ไม่ใช้ไฟฟ้า	
8418	Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.	ตู้เย็น ตู้แช่แข็ง และเครื่องอุปกรณ์อื่น ๆ สำหรับทำความเย็น หรือทำให้เย็นจนแข็ง ใช้ไฟฟ้าหรือใช้สิ่งอื่นรวมทั้งฮีตปั้ม นอกจากเครื่องปรับอากาศ ตามประเภทที่ 84.15	
8419	Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14) for the treatment of materials by a process involving a chane o temperature such as heating, cooking, roasting, distilling, rectifying sterilising , pasteurising, steaming, drying, evaporating, vaporising, condensing or cooling, other than machinery or plant of a kind used for domestic purposes; instantaneous or storage water heaters, non-electric.
- Instantaneous or storage water heaters, non-electric :	เครื่องจักร เครื่องจักรโรงงาน หรือเครื่องอุปกรณ์ห้องปฏิบัติการจะทำความร้อนด้วยไฟฟ้าหรือไม่ก็ตาม ( ไม่รวมถึงเตาเผา เตาอบ และเครื่องอุปกรณ์อื่น ตามประเภทที่ 84.14) สำหรับใช้กระทำกับวัตถุ โดยกรรมวิธีที่เกี่ยวข้องกับการเปลี่ยนอุณหภูมิ เช่น การทำให้ร้อน การทำให้สุก การย่าง การกลั่น การกลั่นลำดับส่วน การสเตอรีไลส์ การพาสเจอไรส์ การอบไอน้ำ การทำให้แห้ง การทำให้ระเหย การทำให้เป็นไอ การควบแน่น หรือการทำให้เย็น นอกจากเครื่องจักรหรือเครื่องจักรโรงงานชนิดที่ใช้ตามบ้านเรือน เครื่องทำน้ำร้อนแบบทำน้ำร้อนชั่วขณะหรือแบบทำน้ำร้อนเก็บสะสมที่ไม่ใช้ไฟฟ้า
- เครื่องทำน้ำร้อนแบบทำน้ำร้อนชั่วขณะหรือแบบทำน้ำร้อนเก็บสะสมที่ไม่ใช้ไฟฟ้า	
8420	Calendering or other rolling machinnes, other than for metals or glass, and cylinders therefor.	เครื่องรีดชนิดคาเลนเดอริงหรือเครื่องรีดอื่น ๆ ที่ใช้ลูกกลิ้งและลูกกลิ้งของเครื่องดังกล่าว นอกจากเครื่องรีดโลหะหรือแก้วล	
8421	Centrifuges, including cenrifugal deyes; filtering or purifying machinery and apparatus, for liquids of gases.	เครื่องเซ็นตริฟิวจ์ รวมถึงเครื่องทำให้แห้งโดยวิธีเหวี่ยง เครื่องจักรหรือเครื่องอุปกรณ์ที่ใช้กรองของเหลวหรือก๊าซหรือทำให้ของเหลวหรือก๊าซบริสุทธิ์	
